host_name,host_since,neighbourhood,property_type,room_type,price
Lea & Pat,2009-02-09,Neighborhood highlights,Entire rental unit,Entire home/apt,$128.00
Edward,2009-02-13,Neighborhood highlights,Entire rental unit,Entire home/apt,$97.00
Normand,2009-02-18,Neighborhood highlights,Private room in cabin,Private room,$117.00
Sarada,2009-02-20,,Entire home/apt,Entire home/apt,
Steven,2009-06-17,,Entire home,Entire home/apt,$98.00
Caroline,2009-06-16,Neighborhood highlights,Entire condo,Entire home/apt,$211.00
Annie/Greg,2009-11-05,Neighborhood highlights,Entire condo,Entire home/apt,$148.00
Mark,2009-11-10,Neighborhood highlights,Entire guesthouse,Entire home/apt,$350.00
Kathryn,2011-04-30,Neighborhood highlights,Entire rental unit,Entire home/apt,$259.00
Jill Leilani,2011-07-22,,Entire home,Entire home/apt,$175.00
Michael,2010-07-05,Neighborhood highlights,Private room in guesthouse,Private room,$166.00
Cab,2011-09-20,Neighborhood highlights,Private room in bed and breakfast,Private room,$125.00
David Jay,2011-09-21,Neighborhood highlights,Entire condo,Entire home/apt,$225.00
Carolyn  KH,2011-09-17,Neighborhood highlights,Entire guesthouse,Entire home/apt,$123.00
Debra,2011-10-05,Neighborhood highlights,Entire home,Entire home/apt,$300.00
Asami Emily,2011-10-06,,Entire condo,Entire home/apt,$118.00
Lisa,2009-11-10,Neighborhood highlights,Entire condo,Entire home/apt,$338.00
Janet Lynn,2009-11-12,Neighborhood highlights,Entire home,Entire home/apt,$329.00
Ahlea,2009-02-16,,Entire condo,Entire home/apt,$528.00
Matt,2011-10-24,Neighborhood highlights,Entire condo,Entire home/apt,$165.00
Kurt,2011-10-29,,Entire guest suite,Entire home/apt,$187.00
Sierra,2011-11-01,Neighborhood highlights,Entire home,Entire home/apt,$359.00
Lanya,2011-11-06,Neighborhood highlights,Entire condo,Entire home/apt,$195.00
Micah,2011-11-07,Neighborhood highlights,Entire bungalow,Entire home/apt,$169.00
Maureen,2011-11-12,Neighborhood highlights,Entire rental unit,Entire home/apt,$228.00
Donald,2009-11-14,,Entire condo,Entire home/apt,$161.00
Dennis,2009-11-16,Neighborhood highlights,Entire rental unit,Entire home/apt,
Janelle,2009-11-16,Neighborhood highlights,Farm stay,Entire home/apt,$62.00
Normand,2009-02-18,Neighborhood highlights,Private room in hut,Private room,$106.00
Greg,2009-11-16,Neighborhood highlights,Entire home,Entire home/apt,$290.00
Libertad,2009-12-09,Neighborhood highlights,Entire place,Entire home/apt,$117.00
Kevin,2009-12-25,Neighborhood highlights,Entire condo,Entire home/apt,$219.00
Michael,2010-01-17,Neighborhood highlights,Entire rental unit,Entire home/apt,$213.00
Bill & Tracey,2011-12-17,Neighborhood highlights,Entire condo,Entire home/apt,
Stefano,2011-11-29,Neighborhood highlights,Entire rental unit,Entire home/apt,$200.00
Karen,2011-12-05,Neighborhood highlights,Entire guesthouse,Entire home/apt,$171.00
Carolyn,2010-08-21,Neighborhood highlights,Entire condo,Entire home/apt,$268.00
Mary,2011-12-08,,Private room in home,Private room,$301.00
Sandy,2011-12-18,Neighborhood highlights,Entire townhouse,Entire home/apt,$185.00
Sydney,2011-12-29,Neighborhood highlights,Farm stay,Entire home/apt,$429.00
Aaron,2012-01-04,Neighborhood highlights,Entire condo,Entire home/apt,$200.00
Michael,2010-01-17,Neighborhood highlights,Entire rental unit,Entire home/apt,$198.00
Edgar,2009-08-17,Neighborhood highlights,Entire townhouse,Entire home/apt,$256.00
Thomas,2010-02-04,,Entire condo,Entire home/apt,$179.00
Mary,2009-11-15,Neighborhood highlights,Entire rental unit,Entire home/apt,$110.00
Cheri Michel,2012-01-07,Neighborhood highlights,Entire rental unit,Entire home/apt,$229.00
Morris,2012-01-14,Neighborhood highlights,Entire home,Entire home/apt,$179.00
Kurt Frederick,2012-01-23,Neighborhood highlights,Private room in home,Private room,$164.00
Shannon,2012-01-27,,Room in boutique hotel,Private room,
Kurt Frederick,2012-01-23,Neighborhood highlights,Private room in bed and breakfast,Private room,$174.00
Sylvia,2012-02-04,Neighborhood highlights,Private room in home,Private room,$131.00
Caryl,2012-02-23,Neighborhood highlights,Entire rental unit,Entire home/apt,$131.00
Andy,2010-03-14,Neighborhood highlights,Entire home,Entire home/apt,$564.00
Liz,2010-03-17,,Entire home,Entire home/apt,$95.00
Liz,2010-03-17,,Entire rental unit,Entire home/apt,$56.00
George,2010-05-23,Neighborhood highlights,Entire rental unit,Entire home/apt,$147.00
Michael,2010-07-05,,Private room in bed and breakfast,Private room,$143.00
Kurt,2010-02-25,Neighborhood highlights,Entire rental unit,Entire home/apt,$149.00
Yarden,2010-07-13,Neighborhood highlights,Room in hotel,Private room,$223.00
Sharyn,2012-03-01,Neighborhood highlights,Entire home,Entire home/apt,$573.00
Norman,2012-03-06,Neighborhood highlights,Entire rental unit,Entire home/apt,$101.00
Barbara,2011-12-04,Neighborhood highlights,Entire condo,Entire home/apt,$187.00
Ron,2012-03-09,Neighborhood highlights,Entire home,Entire home/apt,"$2,159.00"
James Earl,2012-03-12,Neighborhood highlights,Entire guesthouse,Entire home/apt,$160.00
Meera,2012-03-15,Neighborhood highlights,Private room in home,Private room,$65.00
Normand,2009-02-18,,Private room in cottage,Private room,$123.00
Susan,2012-03-27,Neighborhood highlights,Entire home,Entire home/apt,$899.00
Steve & Jette,2010-07-19,Neighborhood highlights,Entire villa,Entire home/apt,$435.00
John,2010-07-21,Neighborhood highlights,Entire rental unit,Entire home/apt,$290.00
Carolyn,2010-08-21,Neighborhood highlights,Entire condo,Entire home/apt,$153.00
James,2012-02-22,Neighborhood highlights,Entire home,Entire home/apt,$700.00
Todd,2010-10-18,Neighborhood highlights,Entire home,Entire home/apt,$162.00
Henry,2010-10-18,Neighborhood highlights,Entire home,Entire home/apt,"$2,000.00"
Todd,2010-10-18,Neighborhood highlights,Entire home,Entire home/apt,$180.00
Cheri Michel,2012-01-07,Neighborhood highlights,Entire rental unit,Entire home/apt,
Bonniestar,2012-03-31,Neighborhood highlights,Private room in home,Private room,$165.00
Chin,2012-04-04,Neighborhood highlights,Entire rental unit,Entire home/apt,
Michael,2012-04-04,Neighborhood highlights,Entire home,Entire home/apt,$565.00
Paul,2012-04-06,Neighborhood highlights,Entire rental unit,Entire home/apt,$179.00
Constance,2012-04-09,Neighborhood highlights,Entire cabin,Entire home/apt,$105.00
Shari,2012-04-10,Neighborhood highlights,Entire guesthouse,Entire home/apt,$205.00
Brenda,2012-01-30,Neighborhood highlights,Entire condo,Entire home/apt,$110.00
Todd,2010-10-18,Neighborhood highlights,Entire cottage,Entire home/apt,$153.00
Andy,2010-03-14,Neighborhood highlights,Entire cottage,Entire home/apt,$319.00
David,2011-09-22,Neighborhood highlights,Entire cottage,Entire home/apt,$115.00
Megan,2012-04-12,Neighborhood highlights,Private room in cottage,Private room,$79.00
Deb,2018-11-07,Neighborhood highlights,Entire condo,Entire home/apt,$303.00
Deb,2018-11-07,,Entire condo,Entire home/apt,$175.00
Nev,2012-04-17,Neighborhood highlights,Entire condo,Entire home/apt,$122.00
Pamela,2011-04-04,Neighborhood highlights,Entire rental unit,Entire home/apt,$399.00
Sandy,2011-12-18,Neighborhood highlights,Entire condo,Entire home/apt,$280.00
Jennifer,2013-12-01,Neighborhood highlights,Entire rental unit,Entire home/apt,$464.00
Amy,2011-01-17,Neighborhood highlights,Entire guest suite,Entire home/apt,$120.00
Rhonda,2011-01-27,Neighborhood highlights,Entire home,Entire home/apt,$380.00
Carolyn,2010-08-21,Neighborhood highlights,Entire condo,Entire home/apt,$268.00
Daleth,2011-02-23,Neighborhood highlights,Entire guesthouse,Entire home/apt,$150.00
Elizabeth,2011-03-15,Neighborhood highlights,Entire home,Entire home/apt,$145.00
Dean,2012-03-23,Neighborhood highlights,Entire place,Entire home/apt,$119.00
Dean,2012-03-23,Neighborhood highlights,Entire place,Entire home/apt,$119.00
Dean,2012-03-23,Neighborhood highlights,Entire place,Entire home/apt,$111.00
Megan,2012-04-12,Neighborhood highlights,Entire cottage,Entire home/apt,$214.00
SherylRose,2013-01-05,Neighborhood highlights,Entire home,Entire home/apt,$130.00
A,2012-04-19,Neighborhood highlights,Entire guesthouse,Entire home/apt,$155.00
Rachel,2012-05-17,Neighborhood highlights,Private room in home,Private room,$311.00
Connie And Andrew,2011-03-19,,Entire cabin,Entire home/apt,$138.00
Jan,2011-03-29,Neighborhood highlights,Entire condo,Entire home/apt,$300.00
Randall,2011-04-02,Neighborhood highlights,Entire guesthouse,Entire home/apt,$130.00
Samuel,2010-12-27,Neighborhood highlights,Entire home,Entire home/apt,$225.00
Rachel,2012-05-17,Neighborhood highlights,Private room in home,Private room,$322.00
SherylRose,2013-01-05,Neighborhood highlights,Entire home,Entire home/apt,$134.00
Rachelle,2012-03-02,,Entire bungalow,Entire home/apt,$83.00
Leonard,2012-05-23,Neighborhood highlights,Entire cabin,Entire home/apt,$211.00
Eriko,2012-05-24,,Entire condo,Entire home/apt,$115.00
SherylRose,2013-01-05,Neighborhood highlights,Entire home,Entire home/apt,$71.00
Leonard,2012-05-23,Neighborhood highlights,Entire cabin,Entire home/apt,$211.00
Tony,2011-04-07,,Private room in resort,Private room,$750.00
Tony,2011-04-07,Neighborhood highlights,Room in boutique hotel,Private room,$757.00
Michael,2010-01-17,Neighborhood highlights,Entire condo,Entire home/apt,$128.00
Michael,2010-01-17,Neighborhood highlights,Entire rental unit,Entire home/apt,$120.00
Heather,2010-11-22,Neighborhood highlights,Entire guest suite,Entire home/apt,$244.00
Melinda,2011-05-27,Neighborhood highlights,Private room in resort,Private room,
Robert,2012-06-02,Neighborhood highlights,Entire condo,Entire home/apt,$296.00
Paul,2012-04-06,,Entire home,Entire home/apt,$320.00
Leonard,2012-05-23,Neighborhood highlights,Entire cabin,Entire home/apt,$133.00
Roger,2012-01-30,Neighborhood highlights,Entire rental unit,Entire home/apt,$79.00
Paul,2012-04-06,,Entire rental unit,Entire home/apt,$187.00
John,2012-06-07,Neighborhood highlights,Entire home,Entire home/apt,$263.00
Paul,2012-04-06,,Entire rental unit,Entire home/apt,$179.00
Kaua’i,2011-06-28,Neighborhood highlights,Entire home,Entire home/apt,"$1,012.00"
Kurt,2010-02-25,Neighborhood highlights,Entire condo,Entire home/apt,$104.00
Maria,2011-06-26,Neighborhood highlights,Entire home,Entire home/apt,$598.00
Kaua’i,2011-06-28,,Entire condo,Entire home/apt,$633.00
Alfred,2011-07-06,Neighborhood highlights,Entire condo,Entire home/apt,$710.00
Meleana,2011-07-02,Neighborhood highlights,Entire bungalow,Entire home/apt,$400.00
Barbara,2011-07-10,Neighborhood highlights,Entire condo,Entire home/apt,$185.00
Eric,2013-07-23,,Entire rental unit,Entire home/apt,$104.00
Kurt Frederick,2012-01-23,Neighborhood highlights,Private room in home,Private room,$135.00
James,2012-06-12,Neighborhood highlights,Entire home,Entire home/apt,$62.00
Paul,2012-04-06,Neighborhood highlights,Entire guest suite,Entire home/apt,$179.00
Paul,2012-04-06,,Entire guest suite,Entire home/apt,$179.00
Sue,2012-06-13,Neighborhood highlights,Entire condo,Entire home/apt,$204.00
David,2012-06-15,,Entire rental unit,Entire home/apt,$175.00
Cameron,2012-06-18,,Entire rental unit,Entire home/apt,$259.00
Janet Lynn,2009-11-12,Neighborhood highlights,Entire vacation home,Entire home/apt,$329.00
Adam,2014-01-04,,Entire home,Entire home/apt,$239.00
David,2011-06-25,Neighborhood highlights,Private room in home,Private room,$481.00
Ye,2011-07-17,Neighborhood highlights,Private room in resort,Private room,$396.00
David,2011-06-25,Neighborhood highlights,Entire guest suite,Entire home/apt,$425.00
Nina & Anders,2011-07-26,Neighborhood highlights,Entire condo,Entire home/apt,$288.00
Sandra,2011-08-03,Neighborhood highlights,Entire home,Entire home/apt,$534.00
Sandra,2011-08-03,Neighborhood highlights,Entire rental unit,Entire home/apt,$199.00
Adam,2014-01-04,,Entire home,Entire home/apt,$248.00
Jeff,2011-08-04,Neighborhood highlights,Entire condo,Entire home/apt,"$1,575.00"
Chifumi,2012-06-22,Neighborhood highlights,Entire rental unit,Entire home/apt,$83.00
Elizabeth,2011-03-15,Neighborhood highlights,Entire guest suite,Entire home/apt,$149.00
Rosabeth,2012-06-24,Neighborhood highlights,Entire condo,Entire home/apt,$134.00
Jayne,2012-06-25,Neighborhood highlights,Entire condo,Entire home/apt,$344.00
Lawrence,2012-06-25,,Entire condo,Entire home/apt,$550.00
Linda,2011-08-06,Neighborhood highlights,Entire home,Entire home/apt,$280.00
Wendy,2011-08-14,Neighborhood highlights,Entire home,Entire home/apt,$279.00
Andre Robin,2011-08-14,Neighborhood highlights,Entire home,Entire home/apt,$96.00
Eva,2011-08-16,Neighborhood highlights,Private room in bed and breakfast,Private room,
Bill,2011-08-18,Neighborhood highlights,Entire home,Entire home/apt,$503.00
Keith,2011-08-18,Neighborhood highlights,Farm stay,Entire home/apt,$90.00
Ron,2012-03-09,Neighborhood highlights,Entire cottage,Entire home/apt,$584.00
Maureen,2011-11-12,Neighborhood highlights,Private room in home,Private room,$154.00
Elizabeth,2012-07-06,Neighborhood highlights,Entire condo,Entire home/apt,$240.00
Maureen,2011-11-12,Neighborhood highlights,Private room in home,Private room,$137.00
Matt,2012-06-28,Neighborhood highlights,Entire rental unit,Entire home/apt,$192.00
Denice,2012-07-08,Neighborhood highlights,Entire condo,Entire home/apt,$488.00
Ira,2011-08-18,Neighborhood highlights,Entire cabin,Entire home/apt,$166.00
Jill,2011-08-20,Neighborhood highlights,Entire home,Entire home/apt,$432.00
Richard,2011-08-23,Neighborhood highlights,Entire cottage,Entire home/apt,$215.00
Richard,2011-08-23,Neighborhood highlights,Entire home,Entire home/apt,$440.00
June,2011-08-30,Neighborhood highlights,Entire guesthouse,Entire home/apt,
Sunny,2012-07-09,,Entire condo,Entire home/apt,$600.00
Elizabeth,2012-07-06,Neighborhood highlights,Entire rental unit,Entire home/apt,$233.00
Maureen,2011-11-12,Neighborhood highlights,Private room in home,Private room,$171.00
Patricia,2012-07-12,Neighborhood highlights,Entire condo,Entire home/apt,$359.00
Maureen,2011-11-12,Neighborhood highlights,Private room in home,Private room,$144.00
James Thomas,2012-07-16,Neighborhood highlights,Entire rental unit,Entire home/apt,$218.00
Tracy,2009-02-07,Neighborhood highlights,Entire condo,Entire home/apt,$210.00
Patricia,2012-07-16,Neighborhood highlights,Private room in home,Private room,$112.00
James,2012-07-28,Neighborhood highlights,Entire condo,Entire home/apt,$309.00
Kevin,2012-11-24,Neighborhood highlights,Entire rental unit,Entire home/apt,$149.00
Mariana,2012-11-18,Neighborhood highlights,Entire rental unit,Entire home/apt,$90.00
Kristine,2012-11-26,Neighborhood highlights,Entire guesthouse,Entire home/apt,$320.00
Rebecca,2012-12-04,,Entire condo,Entire home/apt,$205.00
Geoffrey,2012-12-13,Neighborhood highlights,Entire guest suite,Entire home/apt,$289.00
Donald,2012-12-23,Neighborhood highlights,Entire condo,Entire home/apt,$275.00
Thomas,2012-07-30,,Entire rental unit,Entire home/apt,
Tom And Vicki,2012-08-02,,Entire home,Entire home/apt,$340.00
Greg,2011-10-16,Neighborhood highlights,Entire home,Entire home/apt,
Tom And Vicki,2012-08-02,,Entire rental unit,Entire home/apt,$290.00
Jade,2010-01-10,Neighborhood highlights,Entire cottage,Entire home/apt,$91.00
Tropical Studios At Marine Surf,2012-08-03,Neighborhood highlights,Entire condo,Entire home/apt,$166.00
Sandy,2011-12-18,,Entire condo,Entire home/apt,$192.00
Karen,2012-08-08,Neighborhood highlights,Entire guest suite,Entire home/apt,$293.00
Josephine,2012-08-13,Neighborhood highlights,Entire home,Entire home/apt,$400.00
Donna And Robbie,2012-08-13,Neighborhood highlights,Entire guest suite,Entire home/apt,$189.00
Emalia,2018-01-03,Neighborhood highlights,Entire home,Entire home/apt,$177.00
Krissy,2012-12-28,Neighborhood highlights,Entire condo,Entire home/apt,
Mary Anne,2012-04-07,Neighborhood highlights,Private room in home,Private room,$189.00
William Jeffery,2012-08-12,Neighborhood highlights,Entire cottage,Entire home/apt,$295.00
Maui Garden Oasis,2009-11-12,,Private room in home,Private room,$85.00
Maui Garden Oasis,2009-11-12,Neighborhood highlights,Private room in guesthouse,Private room,$68.00
Evelyn,2012-08-16,Neighborhood highlights,Entire cabin,Entire home/apt,$926.00
Clem,2012-08-21,,Private room in bed and breakfast,Private room,$405.00
Clem,2012-08-21,,Private room in bed and breakfast,Private room,$405.00
Eddi,2011-09-22,Neighborhood highlights,Private room in bed and breakfast,Private room,$475.00
Robert Jeffrey,2012-12-30,,Entire home,Entire home/apt,$480.00
David & Yuriko,2012-01-24,Neighborhood highlights,Entire home,Entire home/apt,$312.00
Michael,2013-01-02,,Entire rental unit,Entire home/apt,$213.00
Raymond And Azlina,2012-03-05,Neighborhood highlights,Private room in resort,Private room,
Louisa,2012-08-08,Neighborhood highlights,Hut,Entire home/apt,$55.00
Guia,2014-06-26,Neighborhood highlights,Entire cottage,Entire home/apt,$408.00
Cynthia,2012-12-18,Neighborhood highlights,Earthen home,Entire home/apt,$150.00
Don Paul,2013-01-06,,Entire condo,Entire home/apt,$252.00
Eddi,2011-09-22,Neighborhood highlights,Private room in bed and breakfast,Private room,$425.00
Angie,2012-08-20,Neighborhood highlights,Entire rental unit,Entire home/apt,$134.00
Kyungho,2012-08-09,,Entire rental unit,Entire home/apt,$420.00
Pamela,2011-04-04,Neighborhood highlights,Entire rental unit,Entire home/apt,$294.00
Eriko,2012-05-24,,Entire condo,Entire home/apt,$71.00
Raymond And Azlina,2012-03-05,Neighborhood highlights,Private room in resort,Private room,
Phil,2012-08-29,Neighborhood highlights,Entire guest suite,Entire home/apt,$93.00
Phil,2012-08-29,Neighborhood highlights,Entire guest suite,Entire home/apt,$89.00
Raymond And Azlina,2012-03-05,Neighborhood highlights,Private room in resort,Private room,
Janice,2013-01-07,Neighborhood highlights,Private room in bed and breakfast,Private room,$295.00
Steve,2010-11-10,Neighborhood highlights,Farm stay,Entire home/apt,$400.00
Ryan,2013-01-10,Neighborhood highlights,Entire condo,Entire home/apt,
Kawehi,2013-01-07,Neighborhood highlights,Entire guesthouse,Entire home/apt,$131.00
Caroline And Scott,2013-01-12,Neighborhood highlights,Entire cabin,Entire home/apt,$250.00
Eva,2011-08-16,Neighborhood highlights,Private room in bed and breakfast,Private room,$354.00
Patricia,2012-07-16,Neighborhood highlights,Private room in home,Private room,
Eva,2011-08-16,Neighborhood highlights,Private room in bed and breakfast,Private room,$354.00
Arna,2010-11-22,,Entire home,Entire home/apt,$234.00
Tom & Denise,2012-09-22,Neighborhood highlights,Private room in bed and breakfast,Private room,$178.00
Priscilla,2012-09-24,Neighborhood highlights,Entire rental unit,Entire home/apt,$90.00
Tamara,2012-09-26,Neighborhood highlights,Entire home,Entire home/apt,
Terry,2013-07-09,,Entire home,Entire home/apt,$150.00
Brenda,2012-01-30,Neighborhood highlights,Entire condo,Entire home/apt,$162.00
Valerie,2013-01-13,Neighborhood highlights,Entire condo,Entire home/apt,$189.00
Christina,2013-01-15,,Entire condo,Entire home/apt,$279.00
House Of Dreams Kauai,2013-01-16,Neighborhood highlights,Entire home,Entire home/apt,"$1,535.00"
Denisha,2013-01-23,Neighborhood highlights,Entire condo,Entire home/apt,$350.00
Laura,2012-10-07,,Entire home,Entire home/apt,"$1,161.00"
Keith,2011-08-18,Neighborhood highlights,Entire cabin,Entire home/apt,$180.00
Tracy,2009-02-07,Neighborhood highlights,Entire condo,Entire home/apt,$157.00
Sharyn,2012-03-01,Neighborhood highlights,Entire cottage,Entire home/apt,$400.00
Sharyn,2012-03-01,Neighborhood highlights,Entire home,Entire home/apt,$498.00
Sharyn,2012-03-01,Neighborhood highlights,Entire cabin,Entire home/apt,$591.00
Tamara,2012-09-26,Neighborhood highlights,Entire home,Entire home/apt,$85.00
Manolo,2012-04-13,Neighborhood highlights,Entire rental unit,Entire home/apt,$420.00
Robert,2013-01-25,Neighborhood highlights,Entire villa,Entire home/apt,$822.00
Manolo,2012-04-13,,Entire rental unit,Entire home/apt,$310.00
Caroline And Scott,2013-01-12,Neighborhood highlights,Entire cottage,Entire home/apt,$175.00
Lauren,2013-02-01,Neighborhood highlights,Entire home,Entire home/apt,$737.00
Jacque,2009-11-14,Neighborhood highlights,Entire home,Entire home/apt,$245.00
Patty,2013-02-04,Neighborhood highlights,Entire guest suite,Entire home/apt,$125.00
Sandy,2012-10-14,,Entire guest suite,Entire home/apt,$252.00
David,2011-06-25,Neighborhood highlights,Private room in guest suite,Private room,$500.00
Brenda,2011-09-15,Neighborhood highlights,Entire cabin,Entire home/apt,$84.00
Melissa,2012-05-16,Neighborhood highlights,Entire condo,Entire home/apt,$654.00
David,2011-06-25,Neighborhood highlights,Entire villa,Entire home/apt,$450.00
Tim & Carolyn,2012-11-10,Neighborhood highlights,Entire condo,Entire home/apt,$427.00
Jeff,2012-11-12,Neighborhood highlights,Entire townhouse,Entire home/apt,$855.00
